,Morning,Late Morning,Noon,Afternoon,Evening,Night
TRON Lightcycle / Run,70,75,65,80,95,105
Jungle Cruise,15,35,40,45,45,35
Seven Dwarfs Mine Train,40,60,60,70,65,65
The Magic Carpets of Aladdin,5,15,15,15,20,20
Mad Tea Party,5,15,15,15,15,15
The Many Adventures of Winnie the Pooh,35,30,45,45,45,40
The Barnstormer,5,15,15,30,25,25
Haunted Mansion,15,20,30,35,35,30
Tiana's Bayou Adventure,10,20,35,60,60,45
Space Mountain,30,50,50,55,55,55
Peter Pan's Flight,0,45,55,55,50,45
Mickey's PhilharMagic,15,15,15,10,10,10
Tomorrowland Speedway,15,25,20,15,20,15
Pirates of the Caribbean,5,15,20,20,30,30
Dumbo the Flying Elephant,5,15,20,25,20,20
Under the Sea - Journey of The Little Mermaid,5,5,25,30,30,25
Monsters Inc. Laugh Floor,10,10,10,10,10,10
