Ride,Closed Down,5-15,20-30,35-45,50-60,65-75,80-90,95-105,110-120,125-135,140-150,155-165,170-180,185-195,200-210
Living with the Land,28.0,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Test Track,36.0,0.0,0.0,0.0,0.0,20.0,8.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Soarin',28.0,8.0,12.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gran Fiesta Tour Starring The Three Caballeros,28.0,60.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission: SPACE,28.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frozen Ever After,36.0,0.0,0.0,8.0,20.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remy's Ratatouille Adventure,24.0,0.0,0.0,36.0,20.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guardians of the Galaxy: Cosmic Rewind,24.0,0.0,0.0,0.0,4.0,4.0,24.0,36.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaceship Earth,24.0,56.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Seas with Nemo & Friends,28.0,52.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
