,Morning (05-10),Late Morning (10-12),Noon (12-14),Afternoon (14-16),Late Afternoon (16-18),Evening (18-20),Night (20-24)
TRON Lightcycle / Run,,,,90.0,95.0,110.0,
Jungle Cruise,,,,50.0,55.0,50.0,
Seven Dwarfs Mine Train,,,,70.0,70.0,65.0,
The Magic Carpets of Aladdin,,,,15.0,30.0,25.0,
Mad Tea Party,,,,20.0,25.0,20.0,
The Many Adventures of Winnie the Pooh,,,,45.0,50.0,45.0,
The Barnstormer,,,,40.0,35.0,30.0,
Haunted Mansion,,,,40.0,40.0,35.0,
Tiana's Bayou Adventure,,,,65.0,75.0,60.0,
Space Mountain,,,,60.0,60.0,55.0,
Peter Pan's Flight,,,,55.0,50.0,50.0,
Mickey's PhilharMagic,,,,10.0,10.0,10.0,
Tomorrowland Speedway,,,,20.0,20.0,20.0,
Pirates of the Caribbean,,,,,35.0,50.0,
Dumbo the Flying Elephant,,,,40.0,30.0,30.0,
Under the Sea - Journey of The Little Mermaid,,,,35.0,40.0,20.0,
Monsters Inc. Laugh Floor,,,,10.0,10.0,10.0,
