,Expedition Everest - Legend of the Forbidden Mountain,Kilimanjaro Safaris,Kali River Rapids,Avatar Flight of Passage,Na'vi River Journey
2026-03-13 15:11,60,60.0,40,80,60
2026-03-13 15:12,60,60.0,40,80,60
2026-03-13 15:13,55,60.0,40,80,60
2026-03-13 15:21,55,50.0,40,85,55
2026-03-13 15:25,55,50.0,40,85,55
2026-03-13 15:56,55,30.0,35,65,50
2026-03-13 16:40,65,20.0,20,65,45
2026-03-13 17:17,50,15.0,25,70,55
2026-03-13 17:17,50,15.0,25,70,55
2026-03-13 17:56,35,15.0,25,95,45
2026-03-13 17:57,35,15.0,25,95,45
2026-03-13 18:21,35,15.0,40,70,50
2026-03-13 18:48,25,,40,65,40
2026-03-13 19:03,30,,20,65,40
2026-03-13 19:37,20,,20,75,50
2026-03-13 19:56,10,,20,110,40
