,Soarin',Living with the Land,Test Track,Guardians of the Galaxy: Cosmic Rewind,Mission: SPACE,The Seas with Nemo & Friends,Spaceship Earth,Remy's Ratatouille Adventure,Gran Fiesta Tour Starring The Three Caballeros,Frozen Ever After
2026-03-13 15:11,50,25,95.0,105,25,20,15,85,10,70
2026-03-13 15:12,50,25,95.0,105,25,20,15,85,10,70
2026-03-13 15:13,50,25,95.0,105,25,20,15,85,10,70
2026-03-13 15:21,60,20,110.0,90,25,25,20,90,15,70
2026-03-13 15:25,45,20,110.0,90,25,25,20,105,15,70
2026-03-13 15:56,45,20,110.0,110,20,20,20,95,20,70
2026-03-13 16:40,55,25,95.0,120,30,20,25,90,20,75
2026-03-13 17:17,35,25,105.0,140,20,20,25,70,15,85
2026-03-13 17:17,35,25,105.0,140,20,20,25,70,15,85
2026-03-13 17:56,55,30,105.0,120,20,15,25,55,20,60
2026-03-13 17:57,55,30,105.0,120,20,15,25,55,20,60
2026-03-13 18:21,55,20,95.0,120,20,10,30,60,10,60
2026-03-13 18:48,30,10,,120,20,5,20,100,15,60
2026-03-13 19:03,20,10,105.0,110,20,5,20,100,20,60
