,Toy Story Mania!,Mickey & Minnie's Runaway Railway,Millennium Falcon: Smugglers Run,Star Tours,Slinky Dog Dash,The Twilight Zone Tower of Terror,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith
2026-03-13 15:11,60,50,65.0,5,90,80,65.0,
2026-03-13 15:12,60,50,65.0,5,90,80,65.0,
2026-03-13 15:13,60,50,65.0,5,90,60,65.0,
2026-03-13 15:21,70,50,65.0,5,85,40,65.0,
2026-03-13 15:25,70,50,65.0,5,85,40,65.0,
2026-03-13 15:56,60,55,50.0,5,90,65,65.0,
2026-03-13 16:40,45,50,75.0,5,85,65,75.0,
2026-03-13 17:17,50,65,65.0,10,90,45,65.0,
2026-03-13 17:17,50,65,65.0,10,90,45,65.0,
2026-03-13 17:56,45,65,50.0,10,85,75,60.0,
2026-03-13 17:57,45,65,50.0,10,85,75,60.0,
2026-03-13 18:21,60,65,50.0,10,90,55,,
2026-03-13 18:48,70,75,,5,100,85,,
2026-03-13 19:03,70,65,,5,95,70,,
2026-03-13 19:37,70,60,,5,90,55,,
2026-03-13 19:56,80,60,,5,90,60,,
2026-03-13 21:46,,,,,,,,
