,TRON Lightcycle / Run,Jungle Cruise,Seven Dwarfs Mine Train,The Magic Carpets of Aladdin,Mad Tea Party,The Many Adventures of Winnie the Pooh,The Barnstormer,Haunted Mansion,Tiana's Bayou Adventure,Space Mountain,Peter Pan's Flight,Mickey's PhilharMagic,Tomorrowland Speedway,Pirates of the Caribbean,Dumbo the Flying Elephant,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor
2026-03-13 15:11,90,45,75,15,15,45.0,45,40,65,60,55,10,20,,45,40.0,10
2026-03-13 15:12,90,45,75,15,15,45.0,45,40,65,60,55,10,20,,45,40.0,10
2026-03-13 15:13,90,45,75,15,15,45.0,45,40,65,60,55,10,20,,45,40.0,10
2026-03-13 15:21,90,45,60,10,15,40.0,35,40,65,55,55,10,20,,45,35.0,10
2026-03-13 15:25,90,50,65,5,15,40.0,35,35,65,55,55,10,20,,45,35.0,10
2026-03-13 15:56,80,65,65,35,35,65.0,35,45,75,65,55,10,25,,20,30.0,10
2026-03-13 16:40,110,60,80,35,20,50.0,45,40,95,75,65,10,30,15.0,35,50.0,10
2026-03-13 17:17,95,55,65,35,15,,30,30,60,55,45,10,25,45.0,40,50.0,10
2026-03-13 17:56,90,55,65,20,30,,35,50,70,55,45,10,15,40.0,20,25.0,10
2026-03-13 17:57,90,55,65,20,30,,35,50,70,55,45,10,15,40.0,20,25.0,10
2026-03-13 18:21,105,50,60,25,15,45.0,35,35,75,45,55,10,20,45.0,35,,10
2026-03-13 18:48,110,50,65,25,15,40.0,30,35,55,55,50,10,20,50.0,25,25.0,10
2026-03-13 19:03,110,50,70,25,25,45.0,30,35,50,60,40,10,20,50.0,25,20.0,10
2026-03-13 19:37,115,35,70,30,15,45.0,30,,55,60,40,10,20,30.0,30,45.0,10
