,Kali River Rapids,Avatar Flight of Passage,Expedition Everest - Legend of the Forbidden Mountain,Kilimanjaro Safaris,Na'vi River Journey
14/03/2026 01:12,,,,,
14/03/2026 02:00,,,,,
14/03/2026 03:01,,,,,
14/03/2026 07:16,,,,,
14/03/2026 07:40,,25.0,5.0,,10.0
14/03/2026 07:56,,50.0,5.0,,10.0
14/03/2026 08:33,,95.0,10.0,25.0,20.0
14/03/2026 09:29,5.0,80.0,30.0,40.0,30.0
14/03/2026 10:01,15.0,95.0,50.0,35.0,35.0
14/03/2026 10:35,15.0,95.0,55.0,50.0,55.0
14/03/2026 10:57,15.0,80.0,45.0,50.0,60.0
14/03/2026 11:25,30.0,75.0,45.0,45.0,50.0
14/03/2026 11:47,30.0,95.0,50.0,40.0,55.0
14/03/2026 12:01,20.0,90.0,60.0,55.0,60.0
14/03/2026 12:39,25.0,60.0,60.0,50.0,45.0
14/03/2026 13:01,,85.0,55.0,40.0,60.0
14/03/2026 13:34,50.0,70.0,40.0,45.0,45.0
14/03/2026 13:54,40.0,65.0,50.0,40.0,50.0
14/03/2026 14:20,35.0,65.0,40.0,40.0,50.0
14/03/2026 14:59,35.0,55.0,40.0,60.0,55.0
14/03/2026 15:28,30.0,70.0,80.0,20.0,50.0
14/03/2026 15:48,75.0,65.0,70.0,10.0,50.0
14/03/2026 16:00,65.0,75.0,50.0,10.0,50.0
14/03/2026 16:32,55.0,60.0,20.0,15.0,45.0
14/03/2026 16:54,35.0,60.0,15.0,10.0,40.0
14/03/2026 17:16,20.0,60.0,25.0,10.0,55.0
14/03/2026 17:43,10.0,50.0,30.0,5.0,50.0
14/03/2026 17:57,5.0,45.0,25.0,5.0,50.0
14/03/2026 18:22,5.0,95.0,15.0,5.0,45.0
14/03/2026 18:48,5.0,60.0,10.0,,15.0
14/03/2026 19:03,,,,,
14/03/2026 19:36,,,,,
2026-03-14 19:55,,,,,
