,Living with the Land,Test Track,Soarin',Gran Fiesta Tour Starring The Three Caballeros,Mission: SPACE,Frozen Ever After,Remy's Ratatouille Adventure,Guardians of the Galaxy: Cosmic Rewind,Spaceship Earth,The Seas with Nemo & Friends
14/03/2026 01:12,,,,,,,,,,
14/03/2026 02:00,,,,,,,,,,
14/03/2026 03:01,,,,,,,,,,
14/03/2026 07:16,,,,,,,,,,
14/03/2026 07:40,,,,,,,,,,
14/03/2026 07:56,,,,,,,,,,
14/03/2026 08:33,,,,,,,40,60,5,
14/03/2026 09:29,5,70,10,5,15,,45,115,10,5
14/03/2026 10:01,10,90,10,5,15,,40,110,15,5
14/03/2026 10:35,25,115,45,5,15,45,45,90,30,5
14/03/2026 10:57,25,95,30,5,15,60,45,90,30,20
14/03/2026 11:25,25,95,30,5,15,60,45,85,20,20
14/03/2026 11:47,20,105,35,5,15,45,45,95,15,20
14/03/2026 12:01,20,105,35,5,15,60,40,95,20,20
14/03/2026 12:39,15,75,45,10,15,65,45,85,10,25
14/03/2026 13:01,20,75,35,15,15,80,55,75,15,10
14/03/2026 13:34,15,75,45,5,15,65,50,90,20,5
14/03/2026 13:54,15,75,40,5,15,55,50,95,15,5
14/03/2026 14:20,10,95,60,15,15,60,55,95,10,5
14/03/2026 14:59,20,80,45,15,15,70,65,85,15,5
14/03/2026 15:28,10,95,20,15,15,70,70,95,15,5
14/03/2026 15:48,10,95,45,20,15,65,60,95,15,5
14/03/2026 16:00,10,95,45,20,15,65,90,95,15,5
14/03/2026 16:32,20,,45,20,15,70,90,95,15,5
14/03/2026 16:54,15,,45,15,15,80,65,105,15,5
14/03/2026 17:16,10,,45,10,15,55,45,,15,5
14/03/2026 17:43,10,105,45,5,15,55,45,90,15,5
14/03/2026 17:57,5,105,45,10,15,50,70,85,15,5
14/03/2026 18:22,5,,25,10,15,55,70,105,15,5
14/03/2026 18:48,10,,25,15,15,55,55,80,15,5
14/03/2026 19:03,5,,45,5,15,55,55,105,15,5
14/03/2026 19:36,5,,30,5,15,50,60,110,10,5
14/03/2026 19:55,5,,30,5,15,65,60,110,5,5
14/03/2026 21:01,5,65,30,5,15,35,40,115,5,5
14/03/2026 21:02,,,,,,,,115,,
