,The Twilight Zone Tower of Terror,Toy Story Mania!,Mickey & Minnie's Runaway Railway,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Star Wars: Rise of the Resistance,Star Tours,Rock 'n' Roller Coaster Starring Aerosmith
14/03/2026 01:12,,,,,,,,
14/03/2026 02:00,,,,,,,,
14/03/2026 03:01,,,,,,,,
14/03/2026 07:16,,,,,,,,
14/03/2026 07:40,,,,,,,,
14/03/2026 07:56,,,,,,,,
14/03/2026 08:33,13.0,5.0,5.0,15.0,60.0,,5.0,
14/03/2026 09:29,30.0,55.0,55.0,70.0,60.0,,5.0,
14/03/2026 10:01,45.0,110.0,45.0,55.0,60.0,50.0,15.0,
14/03/2026 10:35,45.0,60.0,55.0,50.0,100.0,120.0,10.0,
14/03/2026 10:57,40.0,40.0,55.0,55.0,90.0,115.0,10.0,
14/03/2026 11:25,60.0,100.0,60.0,55.0,90.0,115.0,5.0,
14/03/2026 11:47,50.0,,65.0,60.0,90.0,90.0,10.0,
14/03/2026 12:01,45.0,,60.0,65.0,100.0,90.0,5.0,
14/03/2026 12:39,45.0,,45.0,75.0,85.0,75.0,5.0,
14/03/2026 13:01,55.0,90.0,50.0,100.0,85.0,75.0,15.0,
14/03/2026 13:34,55.0,,50.0,90.0,95.0,70.0,5.0,
14/03/2026 13:54,35.0,,55.0,65.0,90.0,85.0,5.0,
14/03/2026 14:20,35.0,40.0,65.0,50.0,85.0,85.0,5.0,
14/03/2026 14:59,50.0,45.0,50.0,60.0,80.0,65.0,5.0,
14/03/2026 15:28,35.0,55.0,40.0,65.0,70.0,60.0,5.0,
14/03/2026 15:48,35.0,65.0,50.0,60.0,70.0,65.0,5.0,
14/03/2026 16:00,45.0,75.0,55.0,50.0,80.0,65.0,5.0,
14/03/2026 16:32,35.0,85.0,60.0,55.0,60.0,50.0,5.0,
14/03/2026 16:54,50.0,70.0,60.0,55.0,80.0,70.0,5.0,
14/03/2026 17:16,40.0,45.0,45.0,55.0,85.0,50.0,5.0,
14/03/2026 17:43,45.0,25.0,45.0,40.0,80.0,60.0,5.0,
14/03/2026 17:57,40.0,35.0,45.0,40.0,70.0,50.0,5.0,
14/03/2026 18:22,35.0,45.0,45.0,30.0,85.0,50.0,5.0,
14/03/2026 18:48,45.0,50.0,40.0,35.0,85.0,40.0,5.0,
14/03/2026 19:03,50.0,40.0,40.0,35.0,85.0,50.0,5.0,
14/03/2026 19:36,35.0,30.0,50.0,40.0,55.0,40.0,5.0,
14/03/2026 19:55,40.0,30.0,30.0,40.0,60.0,35.0,5.0,
14/03/2026 21:01,30.0,5.0,20.0,10.0,50.0,15.0,5.0,
14/03/2026 21:02,,,,,50.0,,,
2026-03-14 21:05,,,,,,,,
