,Haunted Mansion,The Barnstormer,Tomorrowland Speedway,Peter Pan's Flight,Under the Sea - Journey of The Little Mermaid,The Many Adventures of Winnie the Pooh,Jungle Cruise,TRON Lightcycle / Run,The Magic Carpets of Aladdin,Tiana's Bayou Adventure,Mad Tea Party,Seven Dwarfs Mine Train,Pirates of the Caribbean,Space Mountain,Mickey's PhilharMagic,Dumbo the Flying Elephant,Monsters Inc. Laugh Floor
2026-03-14 01:12,,,,,,,,,,,,,,,,,
2026-03-14 02:00,,,,,,,,,,,,,,,,,
2026-03-14 03:01,,,,,,,,,,,,,,,,,
2026-03-14 07:16,,,,,,,,,,,,,,,,,
2026-03-14 07:40,,,,,,,,,,,,,,,,,
2026-03-14 07:56,,,,,,,,,,,,,,,,,
2026-03-14 08:33,,5.0,,,5.0,30.0,,,,,,25.0,,,,5.0,
2026-03-14 09:29,13.0,5.0,15.0,,5.0,45.0,15.0,70.0,5.0,10.0,5.0,55.0,5.0,30.0,15.0,5.0,10.0
2026-03-14 10:01,15.0,5.0,20.0,40.0,5.0,20.0,25.0,90.0,5.0,10.0,10.0,50.0,5.0,40.0,15.0,5.0,10.0
2026-03-14 10:35,25.0,25.0,25.0,40.0,5.0,,50.0,75.0,10.0,15.0,10.0,55.0,5.0,40.0,15.0,20.0,10.0
2026-03-14 10:57,15.0,10.0,20.0,40.0,5.0,,35.0,75.0,20.0,25.0,15.0,65.0,15.0,40.0,15.0,15.0,10.0
2026-03-14 11:25,30.0,15.0,30.0,50.0,10.0,,30.0,70.0,20.0,30.0,20.0,65.0,25.0,60.0,15.0,20.0,10.0
2026-03-14 11:47,20.0,15.0,30.0,50.0,10.0,45.0,40.0,70.0,20.0,30.0,15.0,60.0,20.0,70.0,15.0,20.0,10.0
2026-03-14 12:01,20.0,15.0,30.0,50.0,15.0,50.0,40.0,70.0,10.0,30.0,10.0,65.0,20.0,70.0,15.0,20.0,10.0
2026-03-14 12:39,30.0,20.0,25.0,75.0,25.0,40.0,30.0,50.0,15.0,30.0,15.0,60.0,20.0,45.0,15.0,20.0,10.0
2026-03-14 13:01,35.0,10.0,15.0,60.0,20.0,45.0,40.0,65.0,15.0,40.0,20.0,60.0,20.0,45.0,15.0,20.0,10.0
2026-03-14 13:34,30.0,20.0,15.0,45.0,35.0,40.0,40.0,70.0,15.0,40.0,15.0,,20.0,50.0,15.0,15.0,10.0
2026-03-14 13:54,25.0,15.0,20.0,40.0,30.0,55.0,45.0,70.0,10.0,40.0,25.0,,25.0,50.0,15.0,25.0,10.0
2026-03-14 14:20,35.0,25.0,10.0,50.0,20.0,30.0,45.0,65.0,15.0,45.0,15.0,,20.0,50.0,15.0,25.0,10.0
2026-03-14 14:59,20.0,15.0,5.0,50.0,35.0,45.0,35.0,75.0,10.0,45.0,15.0,50.0,20.0,40.0,15.0,15.0,10.0
2026-03-14 15:28,30.0,20.0,10.0,60.0,35.0,50.0,45.0,70.0,10.0,45.0,5.0,70.0,20.0,45.0,15.0,15.0,10.0
2026-03-14 15:48,25.0,25.0,15.0,50.0,20.0,55.0,40.0,70.0,10.0,55.0,5.0,75.0,35.0,,15.0,15.0,10.0
2026-03-14 16:00,25.0,25.0,15.0,40.0,20.0,50.0,30.0,70.0,10.0,55.0,10.0,80.0,30.0,,15.0,10.0,10.0
2026-03-14 16:32,35.0,25.0,15.0,50.0,30.0,45.0,35.0,80.0,15.0,55.0,15.0,75.0,25.0,,15.0,10.0,10.0
