,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-03-18 00:24,,,,,
2026-03-18 01:45,,,,,
2026-03-18 02:44,,,,,
2026-03-18 03:41,,,,,
2026-03-18 07:37,5.0,40.0,,,
2026-03-18 08:08,5.0,65.0,10.0,,
2026-03-18 09:50,50.0,110.0,50.0,55.0,
2026-03-18 10:53,40.0,135.0,65.0,60.0,5.0
2026-03-18 11:57,75.0,125.0,85.0,75.0,5.0
2026-03-18 12:56,55.0,115.0,90.0,65.0,15.0
2026-03-18 13:55,55.0,120.0,70.0,60.0,50.0
2026-03-18 14:45,60.0,70.0,60.0,45.0,10.0
2026-03-18 15:38,90.0,85.0,65.0,50.0,35.0
2026-03-18 16:04,85.0,80.0,80.0,55.0,35.0
2026-03-18 16:51,40.0,75.0,60.0,40.0,15.0
2026-03-18 17:22,45.0,65.0,65.0,15.0,15.0
2026-03-18 17:53,60.0,75.0,75.0,10.0,45.0
2026-03-18 18:19,55.0,110.0,80.0,5.0,
