,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids,Expedition Everest,Flight of Passage
2026-04-13 01:26,,,,,,,
2026-04-13 03:25,,,,,,,
2026-04-13 07:58,,,10.0,,,5.0,80.0
2026-04-13 09:25,,,25.0,45.0,,15.0,85.0
2026-04-13 10:58,,,40.0,70.0,25.0,25.0,115.0
2026-04-13 12:12,,,40.0,50.0,55.0,30.0,95.0
2026-04-13 13:19,,,45.0,45.0,40.0,20.0,90.0
2026-04-13 14:18,,,40.0,15.0,20.0,20.0,90.0
2026-04-13 15:41,,,50.0,10.0,45.0,20.0,80.0
2026-04-13 16:35,,,40.0,5.0,20.0,5.0,70.0
2026-04-13 17:27,,,50.0,5.0,10.0,10.0,70.0
2026-04-13 18:08,,,,,,,
2026-04-13 19:00,,,,,,,
