,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-04-26 01:24,,,,,,,,,,,,,,,,,,,,
2026-04-26 03:09,,,,,,,,,,,,,,,,,,,,
2026-04-26 07:32,,,,,,,,,,,,,,,,,,,,
2026-04-26 08:06,,,,,,,,,,,,,,,,,,,,
2026-04-26 09:37,70.0,50.0,40.0,5.0,40.0,,30.0,10.0,5.0,13.0,5.0,5.0,5.0,15.0,20.0,5.0,10.0,0.0,10.0,
2026-04-26 10:25,65.0,45.0,35.0,30.0,40.0,,35.0,5.0,15.0,20.0,15.0,15.0,10.0,15.0,30.0,10.0,20.0,5.0,10.0,
2026-04-26 11:05,65.0,55.0,45.0,30.0,40.0,,40.0,15.0,20.0,25.0,15.0,20.0,10.0,10.0,40.0,25.0,10.0,10.0,10.0,
2026-04-26 11:53,70.0,55.0,30.0,35.0,40.0,,50.0,20.0,25.0,25.0,20.0,20.0,15.0,10.0,20.0,25.0,20.0,15.0,10.0,
2026-04-26 12:26,65.0,50.0,50.0,45.0,45.0,,45.0,10.0,20.0,30.0,20.0,15.0,15.0,15.0,40.0,25.0,25.0,25.0,10.0,
2026-04-26 13:07,70.0,60.0,50.0,45.0,40.0,,55.0,25.0,15.0,30.0,25.0,25.0,15.0,10.0,,25.0,25.0,25.0,10.0,
2026-04-26 13:54,45.0,,,,45.0,,40.0,,,,30.0,,10.0,10.0,,25.0,,25.0,10.0,
2026-04-26 14:35,80.0,65.0,45.0,40.0,45.0,,85.0,5.0,15.0,,20.0,15.0,15.0,10.0,35.0,30.0,15.0,25.0,10.0,
2026-04-26 15:32,50.0,55.0,30.0,60.0,40.0,,,15.0,20.0,35.0,5.0,5.0,10.0,10.0,25.0,20.0,15.0,5.0,10.0,
2026-04-26 16:03,70.0,60.0,45.0,50.0,45.0,,,15.0,10.0,40.0,15.0,15.0,10.0,10.0,,20.0,20.0,15.0,10.0,
2026-04-26 16:52,75.0,65.0,45.0,55.0,40.0,,,15.0,10.0,25.0,20.0,10.0,10.0,10.0,,20.0,15.0,30.0,10.0,
2026-04-26 17:24,65.0,45.0,30.0,40.0,40.0,,35.0,15.0,15.0,35.0,15.0,10.0,15.0,10.0,25.0,20.0,10.0,15.0,10.0,
2026-04-26 17:58,65.0,50.0,50.0,40.0,40.0,,45.0,10.0,10.0,30.0,5.0,5.0,10.0,10.0,30.0,15.0,10.0,15.0,10.0,
