,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-05 01:27,,,,,,,,,,
2026-05-05 03:31,,,,,,,,,,
2026-05-05 07:54,,,,,,,,,,
2026-05-05 09:01,45.0,55.0,65.0,10.0,,5.0,15.0,,,5.0
2026-05-05 11:43,85.0,65.0,45.0,40.0,20.0,30.0,25.0,55.0,5.0,40.0
2026-05-05 12:54,85.0,80.0,50.0,30.0,20.0,20.0,15.0,55.0,10.0,25.0
2026-05-05 14:05,60.0,60.0,40.0,30.0,15.0,15.0,15.0,65.0,20.0,15.0
2026-05-05 15:48,60.0,75.0,55.0,40.0,15.0,15.0,15.0,70.0,10.0,5.0
2026-05-05 16:45,60.0,70.0,50.0,20.0,15.0,15.0,15.0,55.0,5.0,5.0
2026-05-05 17:43,75.0,75.0,,25.0,15.0,20.0,15.0,75.0,10.0,5.0
2026-05-05 18:36,70.0,85.0,45.0,30.0,10.0,20.0,15.0,80.0,15.0,5.0
2026-05-05 19:28,50.0,105.0,50.0,30.0,5.0,5.0,15.0,30.0,5.0,5.0
