,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-09 01:35,,,,,
2026-05-09 03:26,,,,,
2026-05-09 07:41,5.0,45.0,10.0,,
2026-05-09 08:40,10.0,65.0,40.0,40.0,
2026-05-09 10:03,35.0,65.0,45.0,,5.0
2026-05-09 11:02,45.0,70.0,55.0,60.0,50.0
2026-05-09 11:59,60.0,80.0,75.0,65.0,70.0
2026-05-09 12:57,40.0,70.0,55.0,50.0,90.0
2026-05-09 13:44,40.0,80.0,55.0,45.0,60.0
2026-05-09 14:38,40.0,90.0,55.0,20.0,50.0
2026-05-09 15:42,40.0,55.0,50.0,20.0,45.0
2026-05-09 16:25,30.0,75.0,50.0,10.0,60.0
2026-05-09 17:06,35.0,50.0,45.0,10.0,60.0
2026-05-09 17:57,25.0,55.0,50.0,10.0,30.0
