,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-08-02 01:39,,,,,,,,
2026-08-02 03:52,,,,,,,,
2026-08-02 07:52,,,,,,,,
2026-08-02 08:45,40.0,,13.0,15.0,,,15.0,5.0
2026-08-02 10:14,65.0,,80.0,30.0,,,45.0,25.0
2026-08-02 11:20,,,40.0,60.0,90.0,,40.0,20.0
2026-08-02 12:17,,,45.0,65.0,120.0,,55.0,5.0
2026-08-02 13:18,75.0,,40.0,60.0,120.0,,40.0,5.0
2026-08-02 14:13,70.0,,40.0,35.0,100.0,,45.0,5.0
2026-08-02 15:33,55.0,,85.0,25.0,90.0,,40.0,5.0
2026-08-02 16:30,40.0,,75.0,25.0,100.0,55.0,35.0,5.0
2026-08-02 17:25,55.0,,25.0,20.0,70.0,55.0,30.0,5.0
2026-08-02 18:24,35.0,,40.0,15.0,70.0,40.0,35.0,5.0
