timestamp,park,ride,wait_time,hour,day_of_week
2026-03-13 13:48:00-04:00,MK,Prince Charming Regal Carrousel,20,13,4
2026-03-13 13:48:00-04:00,MK,The Barnstormer,35,13,4
2026-03-13 13:48:00-04:00,MK,Walt Disney's Carousel of Progress,5,13,4
2026-03-13 13:48:00-04:00,MK,Jungle Cruise,55,13,4
2026-03-13 13:48:00-04:00,MK,TRON Lightcycle / Run,95,13,4
2026-03-13 13:48:00-04:00,MK,Tomorrowland Transit Authority PeopleMover,15,13,4
2026-03-13 13:48:00-04:00,MK,Enchanted Tales with Belle,15,13,4
2026-03-13 13:48:00-04:00,MK,Astro Orbiter,20,13,4
2026-03-13 13:48:00-04:00,MK,The Magic Carpets of Aladdin,35,13,4
2026-03-13 13:48:00-04:00,MK,Walt Disney World Railroad - Fantasyland,20,13,4
2026-03-13 13:48:00-04:00,MK,The Many Adventures of Winnie the Pooh,60,13,4
2026-03-13 13:48:00-04:00,MK,Tiana's Bayou Adventure,50,13,4
2026-03-13 13:48:00-04:00,MK,Swiss Family Treehouse,5,13,4
2026-03-13 13:48:00-04:00,MK,Walt Disney's Enchanted Tiki Room,10,13,4
2026-03-13 13:48:00-04:00,MK,Seven Dwarfs Mine Train,70,13,4
2026-03-13 13:48:00-04:00,MK,Space Mountain,65,13,4
2026-03-13 13:48:00-04:00,MK,Peter Pan's Flight,60,13,4
2026-03-13 13:48:00-04:00,MK,"""it's a small world""",25,13,4
2026-03-13 13:48:00-04:00,MK,Mickey's PhilharMagic,15,13,4
2026-03-13 13:48:00-04:00,MK,Tomorrowland Speedway,20,13,4
2026-03-13 13:48:00-04:00,MK,"Walt Disney World Railroad - Main Street, U.S.A.",20,13,4
2026-03-13 13:48:00-04:00,MK,Country Bear Musical Jamboree,10,13,4
2026-03-13 13:48:00-04:00,MK,The Hall of Presidents,15,13,4
2026-03-13 13:48:00-04:00,MK,Haunted Mansion,45,13,4
2026-03-13 13:48:00-04:00,MK,Dumbo the Flying Elephant,35,13,4
2026-03-13 13:48:00-04:00,MK,Under the Sea - Journey of The Little Mermaid,40,13,4
2026-03-13 13:48:00-04:00,MK,Mad Tea Party,20,13,4
2026-03-13 13:48:00-04:00,MK,Monsters Inc. Laugh Floor,10,13,4
2026-03-13 13:48:00-04:00,EP,Guardians of the Galaxy: Cosmic Rewind,110,13,4
2026-03-13 13:48:00-04:00,EP,Turtle Talk With Crush,15,13,4
2026-03-13 13:48:00-04:00,EP,Remy's Ratatouille Adventure,70,13,4
2026-03-13 13:48:00-04:00,EP,Living with the Land,15,13,4
2026-03-13 13:48:00-04:00,EP,Mission: SPACE,15,13,4
2026-03-13 13:48:00-04:00,EP,Journey Into Imagination With Figment,25,13,4
2026-03-13 13:48:00-04:00,EP,Spaceship Earth,15,13,4
2026-03-13 13:48:00-04:00,EP,Test Track,80,13,4
2026-03-13 13:48:00-04:00,EP,The Seas with Nemo & Friends,25,13,4
2026-03-13 13:48:00-04:00,EP,Soarin' Around the World,65,13,4
2026-03-13 13:48:00-04:00,EP,Gran Fiesta Tour Starring The Three Caballeros,10,13,4
2026-03-13 13:48:00-04:00,EP,Frozen Ever After,70,13,4
2026-03-13 13:48:00-04:00,HS,Alien Swirling Saucers,40,13,4
2026-03-13 13:48:00-04:00,HS,Slinky Dog Dash,90,13,4
2026-03-13 13:48:00-04:00,HS,The Twilight Zone Tower of Terror™,50,13,4
2026-03-13 13:48:00-04:00,HS,Millennium Falcon: Smugglers Run,75,13,4
2026-03-13 13:48:00-04:00,HS,Star Tours – The Adventures Continue,10,13,4
2026-03-13 13:48:00-04:00,HS,Toy Story Mania!,45,13,4
2026-03-13 13:48:00-04:00,HS,Star Wars: Rise of the Resistance,95,13,4
2026-03-13 13:48:00-04:00,HS,Mickey & Minnie's Runaway Railway,45,13,4
2026-03-13 13:48:00-04:00,HS,Vacation Fun - An Original Animated Short with Mickey & Minnie,10,13,4
2026-03-13 13:48:00-04:00,AK,Kali River Rapids,35,13,4
2026-03-13 13:48:00-04:00,AK,Kilimanjaro Safaris,55,13,4
2026-03-13 13:48:00-04:00,AK,Avatar Flight of Passage,85,13,4
2026-03-13 13:48:00-04:00,AK,Expedition Everest - Legend of the Forbidden Mountain,70,13,4
2026-03-13 13:48:00-04:00,AK,Gorilla Falls Exploration Trail,5,13,4
2026-03-13 13:48:00-04:00,AK,Maharajah Jungle Trek,5,13,4
2026-03-13 13:48:00-04:00,AK,Na'vi River Journey,60,13,4
2026-03-13 13:48:00-04:00,AK,Zootopia: Better Zoogether! - NEW!,35,13,4
